Features,p-value
X2731381_CXCL1,0.00587065988852896
X3955070_GSTTP1,0.00587430395326361
X3911485_APCDD1L,0.00588459636840576
X3688178_ZNF668,0.00593921038706025
X2903219_,0.0060139868849061
X2772805_GC,0.00601739659724541
X2701018_GPR171,0.00610741725441121
X3061456_SAMD9L,0.00629345791712007
X2926437_MGC34034,0.00641110472025848
X4027302_DNASE1L1,0.00652428548743955
X3898913_LOC100131642,0.00653753914085373
X3737274_RNF213,0.00682131564116108
X3070499_RNF133,0.00685498534378538
X2636483_SIDT1,0.00694869291530016
X3355145_ST3GAL4,0.00697725534741107
X2514365_BBS5,0.0069819210018963
X3752271_EVI2A,0.00707110826282643
X3397003_KIRREL3,0.00718773097543988
X2982028_RSPH3,0.00720679380715728
X3765848_TBC1D3P2,0.00724737073328939
X3687435_TBX6,0.00735320526538909
X2911226_BEND6,0.00762680216726846
X2337407_PCSK9,0.00763825159446553
X2886595_LCP2,0.00765835241805523
X3948528_UPK3A,0.00767975679339294
X2779543_EMCN,0.00768506486054833
X2746507_,0.0077869295337389
X3957790_PIK3IP1,0.00785147081381062
X3555850_OR5AU1,0.00807449136353086
X3918535_IL10RB,0.00816091079019855
X3717452_SH3GL1P1,0.00818966294305672
X3777770_,0.00825105526270462
X3664836_CMTM2,0.00827208727607934
X3388859_MMP12,0.00839428958441707
X3681956_KIAA0430,0.0085033996343943
X2362333_MNDA,0.0086784837418054
X3835675_CEACAM19,0.00871886189002585
X3487299_TNFSF11,0.00879845402179021
X3323365_,0.00899492278287276
X3802924_DSC3,0.00918054475930667
X3607503_ABHD2,0.00918147125273888
X2482440_C2orf73,0.00920903979361457
X2497018_LOC100131131,0.00921829916132245
X3103494_TMEM70,0.00926652450465545
X3259400_CCNJ,0.00946994023475554
X3873017_MZF1,0.00947752292896777
X2650393_PPM1L,0.00949192029399993
X3865223_TRAPPC6A,0.0095011194974589
X3454841_BIN2,0.00953132991336275
X3816611_THOP1,0.00954177008787685
X3428573_SPIC,0.00967127848954224
X3329793_SLC39A13,0.00976485444864236
X2370823_RGSL1,0.00977010962788483
X3982721_FAM46D,0.00978536470678298
X3777263_ARHGAP28,0.0099130824998226
X3329029_CRY2,0.00992975017161043
